,age,gender,q3,continente,q4,q6,q8,q21,q22,q34
0,50-54,Man,Belgium,Europa,Bachelor’s degree,20+ years,Python,"1000-9,999 employees",5-9,
1,22-24,Nonbinary,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,R,250-999 employees,3-4,
2,30-34,Woman,Egypt,África,Bachelor’s degree,3-5 years,R,0-49 employees,0, None
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,0-49 employees,0,
4,40-44,Man,South Africa,África,Master’s degree,1-3 years,R,250-999 employees,1-2, Microsoft Power BI
5,30-34,Prefer not to say,China,Asia,I prefer not to answer,< 1 years,Python,0-49 employees,0,
6,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,250-999 employees,1-2,
7,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+,
8,40-44,Man,Israel,Asia,Bachelor’s degree,< 1 years,Python,250-999 employees,5-9,
9,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+,
10,30-34,Man,Colombia,América del Sur,I prefer not to answer,< 1 years,Python,50-249 employees,10-14, None
11,70+,Woman,United States of America,América del Norte,Master’s degree,20+ years,Python,"1000-9,999 employees",3-4, Qlik
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Tableau
13,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"10,000 or more employees",20+, Tableau
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,Python,0-49 employees,1-2,
15,25-29,Woman,Pakistan,Asia,Master’s degree,< 1 years,Python,"1000-9,999 employees",3-4, Microsoft Power BI
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,R,"10,000 or more employees",20+, Microsoft Power BI
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,R,"10,000 or more employees",20+, Tableau
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,R,"10,000 or more employees",20+, Alteryx 
17,35-39,Woman,Other,,Master’s degree,10-20 years,R,0-49 employees,1-2,
18,25-29,Woman,Pakistan,Asia,Doctoral degree,3-5 years,R,50-249 employees,1-2, Microsoft Power BI
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,R,250-999 employees,20+, Microsoft Power BI
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,R,250-999 employees,20+, Tableau
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,Python,0-49 employees,5-9, None
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,SQL,"1000-9,999 employees",1-2, Microsoft Power BI
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,SQL,"1000-9,999 employees",1-2, Tableau
22,35-39,Woman,Tunisia,África,Doctoral degree,3-5 years,Java,0-49 employees,3-4,
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,3-4, Domo
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,Python,250-999 employees,1-2,
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",1-2,
