,age,gender,q3,continente,q4,q6,q9,q21,q22
0,50-54,Man,Belgium,Europa,Bachelor’s degree,20+ years,Jupyter-JupyterLab-JupyterNotebooks ,"1000-9,999 employees",5-9
0,50-54,Man,Belgium,Europa,Bachelor’s degree,20+ years,Jupyter Notebook,"1000-9,999 employees",5-9
1,22-24,Nonbinary,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,RStudio ,250-999 employees,3-4
2,30-34,Woman,Egypt,África,Bachelor’s degree,3-5 years, Notepad++,0-49 employees,0
2,30-34,Woman,Egypt,África,Bachelor’s degree,3-5 years,Jupyter Notebook,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Visual Studio ,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,PyCharm ,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,MATLAB ,0-49 employees,0
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
4,40-44,Man,South Africa,África,Master’s degree,1-3 years,RStudio ,250-999 employees,1-2
4,40-44,Man,South Africa,África,Master’s degree,1-3 years,Jupyter Notebook,250-999 employees,1-2
5,30-34,Prefer not to say,China,Asia,I prefer not to answer,< 1 years,PyCharm ,0-49 employees,0
5,30-34,Prefer not to say,China,Asia,I prefer not to answer,< 1 years, Spyder,0-49 employees,0
6,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,250-999 employees,1-2
6,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,250-999 employees,1-2
7,30-34,Man,India,Asia,Master’s degree,1-3 years, None,"10,000 or more employees",20+
8,40-44,Man,Israel,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,250-999 employees,5-9
8,40-44,Man,Israel,Asia,Bachelor’s degree,< 1 years, Other,250-999 employees,5-9
9,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,RStudio ,"1000-9,999 employees",20+
9,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,"1000-9,999 employees",20+
10,30-34,Man,Colombia,América del Sur,I prefer not to answer,< 1 years,Visual Studio ,50-249 employees,10-14
10,30-34,Man,Colombia,América del Sur,I prefer not to answer,< 1 years,Jupyter Notebook,50-249 employees,10-14
11,70+,Woman,United States of America,América del Norte,Master’s degree,20+ years,Jupyter Notebook,"1000-9,999 employees",3-4
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,"1000-9,999 employees",20+
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",20+
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,Jupyter Notebook,"1000-9,999 employees",20+
13,30-34,Man,India,Asia,Bachelor’s degree,1-3 years, Notepad++,"10,000 or more employees",20+
13,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",20+
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,Visual Studio ,0-49 employees,1-2
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,PyCharm ,0-49 employees,1-2
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years, Notepad++,0-49 employees,1-2
