age,0-49 employees,"10,000 or more employees","1000-9,999 employees",250-999 employees,50-249 employees,All
18-21,0.04,0.01,0.01,0.01,0.01,0.08
22-24,0.07,0.03,0.02,0.02,0.03,0.18
25-29,0.07,0.06,0.05,0.03,0.04,0.26
30-34,0.04,0.04,0.04,0.03,0.03,0.19
35-39,0.04,0.03,0.02,0.02,0.02,0.12
40-44,0.02,0.02,0.01,0.01,0.01,0.07
45-49,0.01,0.01,0.01,0.01,0.01,0.05
50-54,0.01,0.01,0.01,0.01,0.0,0.03
55-59,0.0,0.0,0.0,0.0,0.0,0.01
60-69,0.0,0.0,0.0,0.0,0.0,0.01
70+,0.0,0.0,0.0,0.0,0.0,0.0
All,0.31,0.2,0.19,0.14,0.16,1.0
