age,0,1-2,10-14,15-19,20+,3-4,5-9,All
18-21,0.02,0.02,0.0,0.0,0.01,0.01,0.01,0.07
22-24,0.03,0.04,0.01,0.0,0.04,0.04,0.02,0.18
25-29,0.03,0.06,0.02,0.01,0.05,0.05,0.03,0.26
30-34,0.03,0.05,0.01,0.0,0.04,0.03,0.02,0.19
35-39,0.03,0.02,0.01,0.0,0.02,0.02,0.02,0.13
40-44,0.01,0.02,0.0,0.0,0.02,0.01,0.01,0.07
45-49,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.05
50-54,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.03
55-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
60-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
70+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,0.15,0.24,0.07,0.02,0.2,0.19,0.13,1.0
