age,Bachelor’s degree,Doctoral degree,I prefer not to answer,Master’s degree,No formal education past high school,Professional doctorate,Some college/university study without earning a bachelor’s degree,All
18-21,5.22,0.0,0.35,1.39,0.17,0.04,1.13,8.3
22-24,8.95,0.22,0.48,7.13,0.22,0.09,1.13,18.21
25-29,11.04,0.74,0.7,11.56,0.3,0.13,1.09,25.55
30-34,5.78,1.0,0.43,9.87,0.26,0.22,0.7,18.25
35-39,3.69,1.35,0.17,6.08,0.04,0.09,0.74,12.17
40-44,1.61,0.65,0.13,3.82,0.13,0.3,0.43,7.08
45-49,1.35,0.48,0.09,2.04,0.17,0.04,0.39,4.56
50-54,0.65,0.26,0.0,1.52,0.22,0.09,0.17,2.91
55-59,0.26,0.22,0.04,0.48,0.09,0.04,0.26,1.39
60-69,0.26,0.26,0.04,0.48,0.0,0.0,0.17,1.22
70+,0.0,0.04,0.0,0.26,0.0,0.0,0.04,0.35
All,38.81,5.22,2.43,44.63,1.61,1.04,6.26,100.0
