,age,gender,q3,q4,q6,q7,q8,q9,q10,q14,q20,q21,q22,q24,q32,q34,q35,q39,q41,continente
0,18-21,8.3,8.3,8.3,8.3,7.91,7.91,7.91,7.82,7.43,7.34,7.13,7.0,6.39,3.61,3.48,0.91,3.35,5.26,8.13
1,22-24,18.21,18.21,18.21,18.21,17.3,17.3,17.21,17.17,16.78,16.99,16.86,16.73,16.08,8.74,8.69,3.17,8.43,13.39,17.51
2,25-29,25.55,25.55,25.55,25.55,24.29,24.29,24.29,24.29,23.95,24.38,24.21,23.99,23.16,14.08,14.08,4.78,13.73,19.25,24.21
3,30-34,18.25,18.25,18.25,18.25,17.08,17.08,17.08,17.04,16.73,17.69,17.64,17.43,16.82,10.13,10.04,4.04,9.91,14.86,16.64
4,35-39,12.17,12.17,12.17,12.17,11.21,11.21,11.21,11.21,11.0,11.78,11.69,11.69,11.39,6.95,6.95,2.69,6.74,10.0,11.26
5,40-44,7.08,7.08,7.08,7.08,6.56,6.56,6.56,6.52,6.52,6.78,6.78,6.74,6.52,3.95,3.91,1.26,3.78,5.56,6.56
6,45-49,4.56,4.56,4.56,4.56,4.17,4.17,4.17,4.17,4.04,4.35,4.35,4.3,4.3,3.09,3.09,1.3,3.04,3.69,4.17
7,50-54,2.91,2.91,2.91,2.91,2.61,2.61,2.61,2.61,2.56,2.87,2.82,2.78,2.69,1.56,1.56,0.65,1.56,2.26,2.78
8,55-59,1.39,1.39,1.39,1.39,1.22,1.22,1.22,1.22,1.22,1.39,1.39,1.39,1.39,0.7,0.7,0.17,0.7,1.26,1.35
9,60-69,1.22,1.22,1.22,1.22,1.09,1.04,1.04,1.04,1.04,1.13,1.13,1.09,1.09,0.78,0.78,0.22,0.74,1.0,1.17
10,70+,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.3,0.26,0.26,0.04,0.26,0.3,0.35
