,q10,age,gender,q3,continente,q4,q6,q8,q21,q22
0,Amazon EMR Notebooks,1.48,1.48,1.48,1.43,1.48,1.48,1.48,1.35,1.35
1,Amazon Sagemaker Studio Notebooks,2.22,2.22,2.22,2.04,2.22,2.22,2.22,2.13,2.13
2,Azure Notebooks,4.78,4.78,4.78,4.61,4.78,4.78,4.78,4.48,4.43
3,Binder / JupyterHub,7.69,7.69,7.69,7.3,7.69,7.69,7.69,7.34,7.17
4,Code Ocean,0.65,0.65,0.65,0.61,0.65,0.65,0.65,0.61,0.61
5,Colab Notebooks,28.77,28.77,28.77,27.29,28.77,28.77,28.77,27.55,27.47
6,Databricks Collaborative Notebooks,3.04,3.04,3.04,2.78,3.04,3.04,3.04,2.91,2.91
7,Deepnote Notebooks,0.91,0.91,0.91,0.78,0.91,0.91,0.91,0.87,0.87
8,Google Cloud Datalab,8.13,8.13,8.13,7.65,8.13,8.13,8.13,7.3,7.26
9,Google Cloud Notebooks (AI Platform / Vertex AI),7.34,7.34,7.34,6.61,7.34,7.34,7.34,6.78,6.78
10,IBM Watson Studio,4.22,4.22,4.22,3.87,4.22,4.22,4.22,3.82,3.82
11,Kaggle Notebooks,34.46,34.46,34.46,32.55,34.46,34.46,34.46,32.64,32.55
12,None,28.6,28.6,28.6,26.25,28.6,28.6,28.6,27.25,26.77
13,Observable Notebooks,1.09,1.09,1.09,1.04,1.09,1.09,1.09,0.96,0.96
14,Other,4.13,4.13,4.13,3.95,4.13,4.13,4.13,3.74,3.69
15,Paperspace / Gradient,0.61,0.61,0.61,0.56,0.61,0.61,0.61,0.48,0.48
16,Zeppelin / Zepl Notebooks,0.87,0.87,0.87,0.78,0.87,0.87,0.87,0.78,0.78
