,q9,age,gender,q3,continente,q4,q6,q21,q22
0, None,2.26,2.26,2.26,2.04,2.26,2.26,2.17,2.17
1, Notepad++,16.78,16.78,16.78,15.86,16.78,16.78,16.08,15.99
2, Other,4.74,4.74,4.74,4.48,4.74,4.74,4.56,4.56
3, Spyder,14.65,14.65,14.65,14.04,14.65,14.65,13.52,13.43
4, Sublime Text,8.95,8.95,8.95,8.34,8.95,8.95,8.3,8.17
5, Vim / Emacs,2.87,2.87,2.87,2.65,2.87,2.87,2.74,2.69
6,Jupyter Notebook,62.15,62.15,62.15,58.67,62.15,62.15,58.41,57.97
7,Jupyter-JupyterLab-JupyterNotebooks ,20.25,20.25,20.25,19.08,20.25,20.25,19.04,18.99
8,MATLAB ,5.35,5.35,5.35,5.13,5.35,5.35,4.82,4.82
9,PyCharm ,23.38,23.38,23.38,22.29,23.38,23.38,21.6,21.25
10,RStudio ,26.94,26.94,26.94,25.29,26.94,26.94,25.73,25.55
11,Visual Studio ,13.04,13.04,13.04,11.91,13.04,13.04,12.08,11.99
12,Visual Studio Code (VSCode) ,27.38,27.38,27.38,25.86,27.38,27.38,26.08,25.9
